Los transistores pertenecen a la generación de computadores ...;a. Tercera. b. Primera. c. Cuarta. d. Segunda.;d
En una memoria:;a. Tenemos tantos bits almacenados como 2 elevado al número de líneas. b. La cantidad total de datos almacenada es potencia de 2. c. En cada posición de memoria hay almacenado un dato útil. d. El número de posiciones de memoria es 2 elevado al número de bits de su entrada de datos.;b
Como estudiantes recién graduados, en nuestro primer trabajo, nos piden diseñar una computadora para un sistema empotrado, ¿qué tipo de arquitectura recomendarías utilizar?;a. Un Macintosh. b. Harvard. c. Von Neumann. d. Un servidor Windows.;b
Respecto a la arquitectura de un computador:;a. Es von Neumann si el bus de datos y el de instrucciones es compartido. b. Es Harvard si los datos y el control comparten bus. c. Es Harvard si las instrucciones tienen el mismo tamaño que los datos y viajan por el mismo bus. d. Es Harvard si el ancho de palabra no es igual al tamaño de instrucción.;a
Una memoria volátil se caracteriza por ...;a. Parte del computador donde se almacenan datos. b. Se pierde la información si se interrumpe el flujo eléctrico. c. No necesitar energía para perdurar. d. Ninguna de las otras respuestas.;b
El registro de instrucción ...;a. Contiene los valores sobre los que se va a ejecutar la instrucción. b. Ninguna de las otras respuestas. c. Contiene la siguiente instrucción a ejecutar en código ensamblador. d. Contiene la actual instrucción a ejecutar en código ensamblador.;b
Respecto a la arquitectura de un computador:;a. Es Harvard si las instrucciones pueden tener distinto tamaño que los datos. b. Es Harvard si las instrucciones no pueden tener distinto tamaño que los datos. c. Es von Neumann si el bus de datos y el de instrucciones son bidireccionales. d. Es Harvard si usamos el mismo bus para control que para datos.;a
El CP (contador de programa), ¿a dónde apunta?;a. A la siguiente instrucción. b. A la instrucción en curso. c. A la instrucción previamente ejecutada. d. Ninguna de las anteriores.;a
El lenguaje máquina ...;a. Ninguna de las otras respuestas. b. Es un lenguaje de bajo nivel. c. Es un lenguaje de muy alto nivel. d. Es un lenguaje de alto nivel.;b
La primera generación de computadores se caracterizó por usar:;a. Circuitos integrados. b. Tubos al vacío. c. Transistores. d. Chips.;b
Respecto al reloj de un procesador:;a. Es difícil comparar dos procesadores de dos arquitecturas distintas. b. El procesador con más frecuencia de reloj es el más rápido del mercado en ejecutar todas las tareas. c. La señal de reloj de un procesador es una sinusoidal entre 0 y 5 voltios. d. El procesador con más MIPS es el procesador más rápido del mercado en ejecutar todas las tareas.;a
Respecto al CPI:;a. A mayor CPI menos MIPS. b. El computador que tiene más ciclos por instrucción es el más lento a la hora de ejecutar cualquier tarea. c. Depende de la frecuencia de reloj. d. Todas las instrucciones tienen los mismos ciclos.;a
¿Cuál es el valor de MIPS de un procesador que funciona a 2 MHz y es capaz de ejecutar una media de 3 instrucciones por ciclo?;a. 6. b. 3/2. c. No podemos saber el valor de MIPS. d. 2000/3.;a
Señala la falsa:;a. Los MIPS dependen de la frecuencia de reloj. b. Los MIPS son millones de instrucciones por segundo. c. La velocidad de reloj permite comparar arquitecturas d. Hay que promediar los ciclos de cada instrucción para obtener el CPI medio.;c
Sobre arquitectura de computadores:;a. El paralelismo se detecta antes de la ejecución. b. Las máquinas superescalares proporcionan compatibilidad a nivel de código objeto con las másquinas escalares. c. Un procesador superescalar de grado m tiene un CPI de m. d. Los procesadores superescalares se utilizan en tareas intensivas de cálculo;d
Un ciclo de 1 ns son:;a. 10 G de frecuencia de reloj. b. 1G de frecuencia de reloj. c. No podemos saber la frecuencia de reloj. d. 2 G de frecuencia de reloj.;b
Respecto al CPI:;a. A menos frecuencia de reloj el CPI sube. b. A más frecuencia de reloj el CPI sube. c. No aporta nada sobre la rapidez de ejecución de los programas. d. El CPI depende del programa.;c
Los MFLOPS:;a. Es un parámetro de rendimiento universal para todas las arquitecturas. b. A más MFLOPS más rápido es un computador al ejecutar cualquier tarea. c. Está relacionados con el CPI. d. Miden todo tipo de operaciones.;c
Señala la falsa:;a. Los multicomputadores tienen memoria compartida. b. Los procesadores vectoriales trabajan sobre vectores de resultados y datos. c. Los procesadores vectoriales ahorran bucles de ejecución. d. Los procesadores segmentados requieren un gran ancho de banda en la memoria.;a
Sobre las técnicas para evitar problemas de dependencias en la segmentación:;a. Se puede solucionar con instrucciones NOP. b. Son solo hardware. c. Son solo software. d. Si se reordenan las instrucciones se solucionan siempre las dependencia.;a
El lenguaje ensamblador:;a. Es poco parecido entre procesadores distintos, aunque depende de la arquitectura. b. Es lo mismo que el código máquina. c. Se llama de bajo nivel porque está más cerca del hardware. d. Se usa a menudo en la programación corriente.;c
¿Cuál es la característica principal de la arquitectura MIPS32?;a. No soporta operaciones aritméticas. b. Utiliza un conjunto de instrucciones complejo. c. Tiene un conjunto reducido de instrucciones. d. Es una arquitectura CISC.;c
¿Qué instrucción en MIPS32 se utiliza para sumar dos registros?;a. SUB b. ADD c. DIV d. MUL;b
¿Qué modo de direccionamiento utiliza un registro base más un valor de desplazamiento?;a. Direccionamiento inmediato. b. Direccionamiento directo a registro. c. Direccionamiento implícito. d. Direccionamiento indirecto a registro con desplazamiento.;d
Señala la verdadera:;a. La CPU trabaja internamente en ensamblador. b. Si se introduce el código máquina en una memoria, el procesador puede ejecutar ese programa directamente sin necesidad de compilador. c. Si se introduce un código en ensamblador en un compilador, obtenemos el código de alto nivel correspondiente. d. Un programa en ensamblador se escribe en código máquina.;b
¿Qué significa ‘Little Endian’ en la ordenación de datos?;a. No hay una ordenación específica. b. Los bytes se ordenan de manera aleatoria. c. El byte menos significativo se coloca en la primera posición. d. El byte más significativo se coloca en la primera posición.;c
Señala la verdadera al respecto del MIPS32:;a. Es CISC. b. Direcciona los periféricos como registros. c. Su arquitectura es de carga/almacenamiento. d. Trabaja indistintamente en cualquier modo.;c
¿Qué es una pseudoinstrucción en MIPS32?;a. Una instrucción que se corresponde directamente con una instrucción máquina. b. Una instrucción que se utiliza solo en modo kernel. c. Una instrucción que el ensamblador traduce a una o más instrucciones máquina. d. Una instrucción que no tiene una representación binaria específica.;c
El lenguaje ensamblador:;a. Es muy frecuentemente utilizado cuando no nos importa la eficiencia del código. b. Es muy parecido entre procesadores distintos, aunque depende de la arquitectura. c. Es más fácil de programar, por eso se llama de bajo nivel. d. Permite programar un computador sin preocuparse de su arquitectura.;b
Al respecto del procesador MIPS32:;a. Para sumar dos posiciones de memoria no hace falta cargarlas en registros. b. Tiene un ancho de palabra de 2 bytes. c. El modo kernel es el modo de funcionamiento con más permisos sobre el hardware. d. Trabaja con códigos más complejos por tener más instrucciones.;c
¿Qué hace este código? (mul $t2, $t0, $t1);a. Multiplica a y b y almacena el resultado en c. b. Suma a y b y almacena el resultado en c. c. Divide a por b y almacena el resultado en c. d. Resta b de a y almacena el resultado en c.;a
